Date,Open,High,Low,Close,Adj Close,Volume
2020-01-23,52.450001,52.799999,52.110001,52.650002,50.546154,1548500
2020-01-24,52.240002,52.410000,52.110001,52.259998,50.171738,1766700
2020-01-27,51.180000,51.430000,50.700001,50.810001,48.779678,2011200
2020-01-28,50.820000,51.200001,50.639999,51.070000,49.029289,1914200
2020-01-29,51.000000,51.070000,50.389999,50.400002,48.386066,1634800
2020-01-30,49.689999,49.980000,49.299999,49.889999,47.896442,1824200
2020-01-31,48.919998,49.130001,48.509998,48.590000,46.648392,2388900
2020-02-03,48.599998,48.750000,48.340000,48.500000,46.561985,1964600
2020-02-04,49.450001,49.490002,48.860001,48.910000,46.955605,2313900
2020-02-05,50.290001,50.340000,49.779999,50.040001,48.040447,2393600
2020-02-06,50.209999,50.820000,50.139999,50.169998,48.165249,2446700
2020-02-07,49.650002,49.700001,49.330002,49.410000,47.435623,3139900
2020-02-10,48.860001,48.980000,48.580002,48.869999,46.917198,1770500
2020-02-11,49.150002,49.320000,49.029999,49.310001,47.339619,2789200
2020-02-12,49.639999,49.970001,49.389999,49.810001,47.819641,1891300
2020-02-13,49.119999,49.369999,48.959999,49.189999,47.224411,2459400
2020-02-14,49.430000,49.430000,48.889999,49.209999,47.243614,1414900
2020-02-18,48.290001,48.730000,48.259998,48.660000,46.715591,1975100
2020-02-19,48.740002,48.889999,48.549999,48.830002,46.878799,1583700
2020-02-20,48.810001,48.880001,48.259998,48.349998,46.417976,1444500
2020-02-21,47.889999,48.090000,47.630001,48.000000,46.081966,1733800
2020-02-24,45.720001,45.939999,45.520000,45.540001,43.720264,2125300
2020-02-25,45.169998,45.259998,43.900002,44.160000,42.395409,3336200
2020-02-26,44.599998,44.840000,43.799999,43.910000,42.155396,3072000
2020-02-27,43.380001,44.009998,42.750000,42.750000,41.041748,3756400
2020-02-28,41.820000,43.330002,41.320000,43.139999,41.416164,5067700
2020-03-02,43.270000,44.480000,42.849998,44.419998,42.645020,3889700
2020-03-03,44.259998,45.070000,43.209999,43.500000,41.761784,4042300
2020-03-04,44.360001,44.939999,44.029999,44.830002,43.038635,3292400
2020-03-05,43.630001,43.919998,43.110001,43.540001,41.800182,2737400
2020-03-06,42.500000,42.779999,41.889999,42.310001,40.619335,3422800
2020-03-09,36.700001,37.080002,34.759998,34.770000,33.380627,11580700
2020-03-10,37.029999,37.270000,35.250000,37.020000,35.540714,6898400
2020-03-11,36.410000,36.529999,34.070000,34.509998,33.131012,7588500
2020-03-12,31.969999,32.000000,28.809999,29.110001,27.946793,8805600
2020-03-13,31.750000,31.750000,28.440001,31.219999,29.972477,4990200
2020-03-16,26.620001,27.840000,26.000000,26.299999,25.249075,5041200
2020-03-17,27.420000,27.920000,26.610001,27.629999,26.525930,4181000
2020-03-18,24.730000,25.219999,22.129999,24.799999,23.809015,6215000
2020-03-19,23.690001,25.400000,22.650000,24.760000,23.770613,8288700
2020-03-20,25.879999,27.670000,25.420000,25.420000,24.404240,9054400
2020-03-23,29.580000,29.580000,28.170000,28.799999,27.649178,10013400
2020-03-24,32.080002,33.480000,31.320000,32.970001,31.652550,5664900
2020-03-25,34.290001,36.660000,33.520000,36.119999,34.676678,6755200
2020-03-26,34.230000,36.119999,34.139999,35.369999,34.673824,4558300
2020-03-27,34.209999,35.570000,33.369999,35.200001,34.507172,3443400
2020-03-30,36.439999,37.500000,35.770000,36.779999,36.056072,3966400
2020-03-31,38.330002,38.869999,36.650002,37.240002,36.507019,5090000
2020-04-01,38.349998,39.240002,37.270000,37.480000,36.742294,4019800
2020-04-02,40.119999,41.119999,38.419998,39.720001,38.938206,4921100
2020-04-03,36.730000,36.930000,35.230000,35.669998,34.967918,3760100
2020-04-06,36.290001,37.209999,35.660000,37.209999,36.477608,3129000
2020-04-07,37.650002,37.910000,36.320000,36.419998,35.703156,4382200
2020-04-08,36.200001,37.209999,35.900002,37.099998,36.369774,2406000
2020-04-09,36.830002,37.639999,35.660000,36.740002,36.016861,4393000
2020-04-13,37.049999,37.340000,35.700001,36.189999,35.477684,1513400
2020-04-14,36.650002,36.889999,35.279999,35.360001,34.664021,2609200
2020-04-15,33.590000,33.930000,32.630001,33.680000,33.017090,3589600
2020-04-16,32.820000,32.860001,31.930000,32.250000,31.615234,5654000
2020-04-17,33.619999,34.509998,33.340000,34.509998,33.830750,4663400
2020-04-20,32.730000,33.860001,32.599998,33.000000,32.350471,4369100
2020-04-21,32.099998,32.919998,31.959999,32.529999,31.889723,4820800
2020-04-22,33.820000,34.500000,33.570000,34.369999,33.693508,2635800
2020-04-23,34.630001,35.939999,34.430000,34.610001,33.928783,2487900
2020-04-24,35.160000,35.230000,34.150002,34.150002,33.477840,2673300
2020-04-27,34.099998,35.650002,33.900002,35.160000,34.467957,1788500
2020-04-28,35.360001,36.000000,34.790001,35.689999,34.987526,1680700
2020-04-29,36.500000,37.500000,36.389999,37.500000,36.761902,2295200
2020-04-30,35.790001,36.080002,34.950001,35.150002,34.458157,3426600
2020-05-01,34.209999,34.680000,32.400002,33.430000,32.772011,6654900
2020-05-04,33.220001,33.860001,32.830002,33.560001,32.899452,9243000
2020-05-05,35.759998,36.259998,34.849998,35.009998,34.320908,6894100
2020-05-06,35.099998,35.200001,34.049999,34.209999,33.536655,6293900
2020-05-07,35.189999,35.639999,34.900002,34.900002,34.213078,6277100
2020-05-08,35.369999,36.419998,35.200001,36.419998,35.703156,1691300
2020-05-11,35.349998,35.400002,34.810001,34.810001,34.124847,2042900
2020-05-12,35.270000,35.439999,34.500000,34.500000,33.820950,1542400
2020-05-13,34.490002,34.490002,33.180000,33.290001,32.634766,2355900
2020-05-14,32.500000,33.770000,32.009998,33.730000,33.066105,2726800
2020-05-15,33.660000,34.090000,33.029999,33.029999,32.379883,2057200
2020-05-18,35.830002,36.230000,35.380001,35.689999,34.987526,2697900
2020-05-19,36.020000,36.080002,35.340000,35.349998,34.654217,3637900
2020-05-20,36.470001,36.900002,36.130001,36.490002,35.771782,2874000
2020-05-21,36.410000,36.549999,35.470001,36.040001,35.330639,1832600
2020-05-22,36.029999,36.060001,35.330002,36.020000,35.311031,1442200
2020-05-26,36.720001,36.889999,36.419998,36.520000,35.801189,1554000
2020-05-27,37.759998,37.860001,36.880001,37.259998,36.526623,3055000
2020-05-28,38.049999,38.119999,37.369999,37.439999,36.703079,4483400
2020-05-29,37.480000,37.619999,36.959999,37.580002,36.840328,2459100
2020-06-01,37.990002,38.709999,37.889999,38.660000,37.899067,2625600
2020-06-02,39.799999,40.040001,38.900002,39.279999,38.506863,5257100
2020-06-03,40.689999,41.049999,40.500000,40.840000,40.036160,4004500
2020-06-04,40.689999,41.040001,40.299999,40.750000,39.947933,4493800
2020-06-05,43.029999,43.549999,42.810001,43.080002,42.232075,3144200
2020-06-08,44.020000,44.270000,43.290001,44.189999,43.320221,2321200
2020-06-09,42.869999,43.000000,42.349998,42.830002,41.986996,1867600
2020-06-10,42.430000,42.689999,41.709999,41.990002,41.163528,2762500
2020-06-11,40.209999,40.439999,38.290001,38.369999,37.614777,2453600
2020-06-12,40.169998,40.439999,38.860001,39.590000,38.810764,1503100
2020-06-15,38.430000,39.970001,38.240002,39.639999,38.859779,1778900
2020-06-16,40.669998,41.099998,39.750000,40.240002,39.447971,2198700
2020-06-17,40.619999,40.700001,39.939999,39.970001,39.183285,2211400
2020-06-18,39.470001,40.110001,39.380001,39.860001,39.075451,2294800
2020-06-19,40.759998,40.770000,39.270000,39.380001,38.604900,2390400
2020-06-22,39.750000,40.020000,39.480000,39.980000,39.193089,1600900
2020-06-23,40.860001,40.959999,40.400002,40.570000,39.771473,1453300
2020-06-24,40.169998,40.169998,38.930000,39.070000,38.300999,1831600
2020-06-25,38.110001,39.220001,37.990002,39.169998,39.169998,1565300
2020-06-26,39.150002,39.240002,38.279999,38.750000,38.750000,2221600
2020-06-29,38.810001,39.279999,38.560001,38.900002,38.900002,1471000
2020-06-30,37.980000,38.689999,37.790001,38.459999,38.459999,1348300
2020-07-01,38.250000,38.759998,38.169998,38.360001,38.360001,1237300
2020-07-02,39.060001,39.549999,38.750000,38.970001,38.970001,1524800
2020-07-06,39.740002,40.090000,39.410000,39.580002,39.580002,1106000
2020-07-07,39.220001,39.250000,38.529999,38.540001,38.540001,1413800
2020-07-08,38.549999,39.060001,38.509998,38.869999,38.869999,2166700
2020-07-09,38.299999,38.340000,37.080002,37.180000,37.180000,2728200
2020-07-10,37.470001,37.900002,37.349998,37.770000,37.770000,2240200
2020-07-13,38.330002,38.400002,37.630001,37.759998,37.759998,1520400
2020-07-14,38.060001,39.130001,37.950001,39.040001,39.040001,1894800
2020-07-15,39.389999,39.580002,38.959999,39.310001,39.310001,1779600
2020-07-16,39.250000,39.459999,38.730000,38.900002,38.900002,1389200
2020-07-17,38.709999,38.730000,38.340000,38.480000,38.480000,984900
2020-07-20,38.150002,38.400002,37.700001,37.779999,37.779999,1505700
2020-07-21,38.090000,38.939999,38.080002,38.680000,38.680000,1641500
2020-07-22,38.220001,38.220001,37.759998,37.889999,37.889999,1636700
2020-07-23,37.500000,37.959999,37.430000,37.889999,37.889999,1625300
2020-07-24,38.009998,38.360001,37.880001,38.250000,38.250000,2658800
